gene_name r2_en_2 spr2_en_2 r2_lasso_2 spr2_lasso_2 r2_en_1 spr2_en_1 r2_lasso_1 spr2_lasso_1
RIBC2 0.2316062700127423 0.3795780655426583 0.18419031105129677 0.30711499199647263 nan nan nan nan
APOBEC3B 0.024508710549803372 0.00034501952810529063 0.022976506470988443 0.00034501952810529063 nan nan nan nan
TEF 0.0036826510814581947 0.010020650484950919 0.01893477693666425 0.0007763900737091314 nan nan nan nan
ARSA 9.976760815034534e-06 0.004712113246490254 0.00194974296729432 0.005856745478304545 nan nan nan nan
SMC1B 0.4165164819343102 0.46532390589172506 0.49296488214020556 0.6070805922716704 nan nan nan nan
APOBEC3A 0.06738464786881078 0.0661081770169368 0.06738464786881078 0.0661081770169368 nan nan nan nan
CSF2RB 0.022519632754262827 0.040496889647173843 0.02939095769767162 0.012193264682984704 nan nan nan nan
CCDC134 0.023269065495489346 0.00046966806928083277 0.04170895223118372 0.005526699588056189 nan nan nan nan
PMM1 0.06543403011470475 0.11809755676753349 0.09245108327044936 0.1387927720107651 nan nan nan nan
SMDT1 0.1839562733684885 0.11809755676753349 0.1649438747482147 0.10300853816079689 nan nan nan nan
SERHL2 0.1802740922397872 0.1152774183379288 0.18139869909469158 0.09907227243730037 nan nan nan nan
C1QTNF6 0.2001963393464512 0.3770390889504462 0.18820411703134182 0.3723709797098483 nan nan nan nan
KIAA0930 0.07176374039251936 0.06405926001816392 0.04466504115677582 0.06939530833287978 nan nan nan nan
PACSIN2 0.011017705556353728 0.03644986319985601 0.013411131505295744 0.001707535460709075 nan nan nan nan
GCAT 0.005731794969970498 0.012899896800825598 0.013551450475354873 0.0005159958720330238 nan nan nan nan
APOL4 0.44367376778243645 0.29282123419361206 0.4754114408949352 0.4316648039429794 nan nan nan nan
RFPL3S 0.0006871471561004466 0.005251048334292453 0.0017534352719671884 0.006837212383046279 nan nan nan nan
YWHAH 0.006763640921754256 0.007190790142072645 0.011899732345398798 0.03388355069325248 nan nan nan nan
TSPO 0.44040034341830525 0.1774684645498043 0.4639692520220469 0.18449624303832018 nan nan nan nan
TTLL12 0.0005406801400148983 0.00048159614723082214 0.00024407917898687018 0.00048159614723082214 nan nan nan nan
BIK 0.05407323155206624 0.09127774280710321 0.01905420799119251 0.014906071622796314 nan nan nan nan
POLR3H 0.048749791882904556 0.02692444095122162 0.1138916778218907 0.05296173110491276 nan nan nan nan
NIPSNAP1 6.814367514511473e-06 0.058815009356086155 0.004649209507899273 0.020576999470691533 nan nan nan nan
NCF4 0.04642091553284201 0.06925207756232686 0.05288690898711743 0.038852518901211025 nan nan nan nan
NDUFA6 0.18044902787475356 0.0967903561119337 0.16379284843513786 0.13120837830792131 nan nan nan nan
CYB5R3 0.15585857909055312 0.13681015238070565 0.148138106898383 0.10373891904262257 nan nan nan nan
NUP50-DT 0.002400146799389568 0.0010675393606538984 0.010471970402331394 0.004693396252614692 nan nan nan nan
TTC38 0.49775062884540566 0.41336008630816395 0.4543160959142479 0.41071034899213077 nan nan nan nan
MEI1 0.14697969898460134 0.14817335331286394 0.19006230572100455 0.20712361855284728 nan nan nan nan
A4GALT 0.21006554969918942 0.4321468090793973 0.1933005890658606 0.4321468090793973 nan nan nan nan
PKDREJ 0.17877269708423685 0.1327094522562705 0.1977421986810629 0.15136837419232532 nan nan nan nan
RFPL3 0.004638669808305369 0.008550634523794103 0.02606936912876387 0.02026093414683645 nan nan nan nan
PDGFB 0.04608816812824542 0.018314385025767776 0.0343141723479189 0.00299779194320737 nan nan nan nan
PARVG 0.2772781404353131 0.1426693243988294 0.27512874096036055 0.1426693243988294 nan nan nan nan
RRP7A 0.030106553567946556 0.033813470960691455 0.04535112329487167 0.03196905105387429 nan nan nan nan
MIRLET7BHG 0.10469711082071868 0.10808901448251503 0.11076476990088885 0.10808901448251503 nan nan nan nan
NAGA 0.05223649533962846 0.12035923547322366 0.0069928818972552894 0.06451654171890592 nan nan nan nan
SELENOM 0.12669040887577493 0.05923233773550101 0.1256321613954262 0.05923233773550101 nan nan nan nan
TTC28 0.19875918979259316 0.19967708988978242 0.16134588753244547 0.1978367578632126 nan nan nan nan
DENND6B 0.0015869684272890217 0.0037072892271350993 0.00044102936708552046 0.01265334768962715 nan nan nan nan
DUSP18 0.11538765948191805 0.097424597583156 0.10576684995296791 0.10004871175391737 nan nan nan nan
SELENOO 0.010148458109299761 0.016310389380676107 0.009834419565312266 0.014693875638552215 nan nan nan nan
IL2RB 0.0007998674003128728 0.01735661610014732 6.607096694182957e-05 0.023034487975405096 nan nan nan nan
CYP2D6 0.04252748297752677 0.18299194949196593 0.04703439186137453 0.18299194949196593 nan nan nan nan
CRELD2 0.02069033803735543 0.0032216460534569592 0.006051287050508557 0.0027700831024930752 nan nan nan nan
TNFRSF13C 0.009877958330927897 0.07376737628281557 0.012043961435417506 0.04478349157565446 nan nan nan nan
RFPL2 0.002497622325521052 4.438674168026011e-06 0.0007249553358107676 0.00019186645186706493 nan nan nan nan
C22orf34 nan nan 0.06289257129945458 0.0681466495462756 nan nan nan nan
SREBF2-AS1 0.26516541179431286 0.29605585181750277 0.2636030890767283 0.29602180881667994 nan nan nan nan
nan1071 0.006717147122438172 0.0008463195892759219 0.0036229755287074043 0.0008463195892759219 nan nan nan nan
MLC1 0.01690793302510657 0.07300135991435434 0.008894789326688671 0.08582677756023435 nan nan nan nan
nan6551 0.15582684165102595 0.0940402476780186 0.155826841651026 0.0940402476780186 nan nan nan nan
PARVB 0.06295773834739014 0.12630194166114403 0.06469270385445383 0.13095183085017198 nan nan nan nan
HPS4 0.027966646303220752 0.010113519091847267 0.027966646303220752 0.010113519091847267 nan nan nan nan
CERK 0.008817421759731776 0.09894255805303154 0.0001974923871792983 0.004643962848297214 nan nan nan nan
APOBEC3D 0.1867806598907605 0.1690815273477812 0.18437083013200548 0.1690815273477812 nan nan nan nan
MAFF 0.0008261949437329192 0.010090585941979131 0.0008261949437329195 0.010090585941979131 nan nan nan nan
PLXNB2 0.04380854091343185 0.00371517027863777 0.04380854091343185 0.00371517027863777 nan nan nan nan
APOL3 0.07109709080066907 0.05964912280701754 0.07109709080066907 0.05964912280701754 nan nan nan nan
WBP2NL 0.08481040730383271 0.10719309958004572 0.050938828695101815 0.10719309958004572 nan nan nan nan
IFT27 0.062404280528664535 0.03208858362746544 0.06240428052866451 0.03208858362746544 nan nan nan nan
KLHDC7B 0.02193007635363985 0.026011351909184736 0.021930076353639843 0.026011351909184736 nan nan nan nan
MCM5 0.0009130166302121655 0.013658714259697688 0.0009130166302121655 0.013658714259697688 nan nan nan nan
TYMP 0.00845663993762258 0.0011963137105518355 0.008631582514384695 0.0011963137105518355 nan nan nan nan
